JOIN_FID,INCIDENT,FIRE_YEARn,GISAcres,TotalBird
8,PINE,2004,16271.65,1
10,POPPY FIRE,2006,372.1154,3
14,LOS FLORES,2007,4099.966,1
16,PIONEER,2005,1877.539,32
19,INDIAN 2,2005,188.7452,1
22,VERBENIA,2004,3831.371,23
23,WHISPERING PINES,2006,990.733,7
26,WEST,2004,566.6521,2
29,SAWTOOTH COMPLEX,2006,61767.18,192
31,PINES,2002,61691.24,419
32,PALM#1,2002,94.97114,1
37,PARADISE,2005,3081.726,919
39,RANGE,2005,238.9379,2
42,MUNZ,2005,1183.535,5
49,DOS PALMAS,2008,456.4143,8
54,G,2009,215.0833,1
56,TRAM,2009,49.93808,1
60,CROWN,2010,12582.28,1
62,NARROWS,2010,49.86191,4
72,LIGHTNING,2011,132.5602,1
78,RANGE,2011,241.0146,7
81,EAGLE,2011,13992.99,7
86,ARROWHEAD,2012,22.66902,12
95,TOVEY FIRE,2012,71.69716,3
96,BANNER FIRE,2012,5320.116,14
98,MOUNTAIN,2013,27523.67,2
99,RIVER,2013,406.8415,302
102,FELIPE,2013,2780.291,17
104,SILVER,2013,20308.45,2
108,MUNZ,2015,96.20006,1
109,POPPY,2015,410.6794,3
114,MONTEZUMA,2017,65.18426,1
116,NEENACH,2017,18.74323,47
118,MOFFAT,2018,1253.925,1323
120,TNR Alamo,2011,30.4,5
121,HAUGHTELIN,2010,2319.5,27
122,Eagle Canyon,2014,0,1
123,Topock,2016,2228.4,49
125,Alamo,2016,136.4,31
131,Mitchell,2010,122.5,3
150,Matz,2017,14.05731,5
154,Highline,2013,261.723,3
159,Tecopa,2017,26.99327,753
161,Highline,2017,66.99837,2
177,General,2013,1588.342,2
179,Pilot,2016,8110.823,33
182,Windy Point,2011,541.494,6
186,Mountain,2013,27301.37,2
187,Blue Cut,2016,36266.55,278
190,Travertine,2010,21.78754,1
191,Tram,2009,49.93788,1
192,Stewart,2012,10630.18,39
193,Powerhouse,2013,30267.57,225
200,Silver,2013,20308.37,2
201,Crown,2010,12582.23,1
212,Blue Cut,2002,6821.039,115
216,Old,2003,91428,243
221,Baldy,2001,165.785,7
222,Louisiana,2002,6564.211,120
232,Hill,2011,1159.325,3
234,Pilot,2016,8110.855,33
236,Mountain,2013,27523.67,2
238,Silver,2013,20308.45,2
240,Powerhouse,2013,30267.69,225
242,Blue Cut,2016,36266.7,278
244,Topock,2016,0,49
249,PIUTE,2004,10.80987,2
250,Golden,2007,1988.383,14
252,Lost Horse,2009,450.7557,1
254,Geo,2006,704.0587,26
257,Wildhorse,2005,63771.3,2762
265,Travertine,2010,21.77031,1
275,whispering pines,2006,990.733,7
278,Hackberry,2005,7157.852,16
283,Butte 2,2006,2033.596,4
289,HWY 65,2005,450.4506,1
291,SODA,2005,449.4977,18
294,AQUEDUCT,2005,410.6077,1
296,ANNETTE,2006,1432.379,1
301,COTTONWOOD,2005,64.27149,2
304,REST STOP,2005,20.66887,16
306,152 FIRE,2005,193.6126,3
307,COWPIE,2005,4983.383,3
308,DOS AMIGOS,2005,746.0347,4
314,SAN LUIS,2005,332.2597,36
315,Five,2005,2371.546,22
318,3 ROCKS,2006,9434.875,6
319,ALMAZON,2006,1926.058,8
323,PANOCHE,2003,290.8282,56
330,AIRCRAFT,2004,126.6547,3
331,HWY166,2004,65.16033,5
341,GATOS,2004,1144.838,115
342,CHOCTAW,2001,600.9371,23
344,NEW IDRIA,2003,632.0136,43
347,BASALT,2004,410.184,3106
349,I-5,2004,54.28338,1
351,CANYON,2006,34217.52,37
356,ROMERO,2008,766.0438,185
357,COTTONWOOD,2008,796.5697,39
359,AVENAL,2008,945.3325,1605
364,PARKWAY,2009,689.9021,11
378,PANOCHE,2011,21.61277,1
383,COMANCHE,2011,25939.01,49
386,REED,2011,5899.568,34
389,ROMERO,2011,451.0401,14
392,SODA,2011,1533.496,18
393,TURKEY,2012,2530.048,16
421,MCCABE,2015,1728.974,74
422,BLUE,2016,0.1527542,5
431,PANOCHO,2016,53.19081,22
432,CURRY,2016,2820.48,56
433,MINERAL,2016,6790.293,16
435,MERCURY,2016,94.94749,9
440,LUCY,2017,147.667,8
441,OLIVE,2017,236.8678,3
447,HUDSON,2017,1182.301,10
472,GARZA,2017,48886.66,1022
476,DERRICK,2017,1561.663,13
477,CREEK,2017,356.9353,1
480,AVENAL,2017,19.41336,2
489,IDRIA,2018,110.1655,12
500,NA,2018,17.67473,2
507,Elkhorn,2013,71.47345,2
508,Hill,2017,9.913183,11
515,Panocho,2016,53.1906,22
517,Soda,2016,2000.281,364
518,Wash,2010,947.4305,3
521,Curry,2016,2820.469,56
522,Creek,2017,356.9339,1
528,Panoche,2011,21.61269,1
529,Corcoran,2014,116.9559,27
531,Derrick,2017,1561.657,13
532,Hudson,2017,1182.297,16
534,Mineral,2016,6779.574,16
535,Cotton,2010,2037.958,1
536,Idria,2018,110.1651,13
537,Mercury,2016,94.94711,9
538,Commanche,2011,25938.91,49
539,School,2014,223.7788,39
540,Turkey,2012,2530.038,16
544,58 Complex,2011,674.2425,17
546,Garza,2017,48886.47,1022
553,Sandy,2016,0,25
554,School,2014,223.9,39
555,Corcoran,2014,117.1,27
556,Lake,2020,30999.28856,112
557,DOME,2020,44211.08459,1303
558,Bobcat,2020,115997.5701,4012
559,Mineral,2020,29666.84215,55
560,Del Puerto,2020,390647.2556,2048